,number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_min_interactions,state
0,0,0.027602559357740863,2023-12-09 15:36:14.649443,2023-12-09 15:36:20.166794,0 days 00:00:05.517351,0.6259032824572549,1.7002282817727592,1.362477000493638,8,COMPLETE
1,1,0.03031687512257488,2023-12-09 15:36:20.167970,2023-12-09 15:36:25.873106,0 days 00:00:05.705136,1.638190182312588,1.3840931921128687,0.3743992687463364,5,COMPLETE
2,2,0.02837390157338358,2023-12-09 15:36:25.874070,2023-12-09 15:36:31.812771,0 days 00:00:05.938701,1.833755129899783,0.10794256967755697,0.9899313152402098,6,COMPLETE
3,3,0.025479195531009084,2023-12-09 15:36:31.816987,2023-12-09 15:36:37.947829,0 days 00:00:06.130842,0.7395271327383225,0.244983832744464,1.9001961649822587,8,COMPLETE
4,4,0.027990140256979806,2023-12-09 15:36:37.948855,2023-12-09 15:36:44.040225,0 days 00:00:06.091370,1.9858101078093504,1.397011069896056,1.8214866782579213,10,COMPLETE
5,5,0.02832549251266886,2023-12-09 15:36:44.040917,2023-12-09 15:36:50.018795,0 days 00:00:05.977878,0.15330959016400614,1.4446048043255144,0.6583316641236966,5,COMPLETE
6,6,0.027503546755489935,2023-12-09 15:36:50.023094,2023-12-09 15:36:56.001093,0 days 00:00:05.977999,0.8283224794439613,1.1902250625674495,1.334244613888598,3,COMPLETE
7,7,0.02972977044544425,2023-12-09 15:36:56.001781,2023-12-09 15:37:01.958936,0 days 00:00:05.957155,0.1900747645537272,0.19350417332290648,0.06491708168986965,8,COMPLETE
8,8,0.0286875067218333,2023-12-09 15:37:01.960121,2023-12-09 15:37:07.838895,0 days 00:00:05.878774,1.8916193359247304,0.38729663283392685,1.1127175808221996,1,COMPLETE
9,9,0.029755918376384888,2023-12-09 15:37:07.840280,2023-12-09 15:37:13.951659,0 days 00:00:06.111379,1.2512800061958163,1.8025079170841596,0.7419120603274751,5,COMPLETE
10,10,0.030827117614682552,2023-12-09 15:37:13.952577,2023-12-09 15:37:19.813767,0 days 00:00:05.861190,1.4261217882529948,0.8272730457710842,0.022759739006430135,3,COMPLETE
11,11,0.030811333168846326,2023-12-09 15:37:19.816664,2023-12-09 15:37:25.655076,0 days 00:00:05.838412,1.4428827392567483,0.8031492669551558,0.028935338413660274,3,COMPLETE
12,12,0.031033525340520417,2023-12-09 15:37:25.655880,2023-12-09 15:37:31.558820,0 days 00:00:05.902940,1.4013709417004723,0.7551983197473086,0.07897341955199189,2,COMPLETE
13,13,0.03082826823435658,2023-12-09 15:37:31.559486,2023-12-09 15:37:37.618868,0 days 00:00:06.059382,1.2149357814945876,0.8005997493628534,0.263411483511853,1,COMPLETE
14,14,0.03062053195796738,2023-12-09 15:37:37.619711,2023-12-09 15:37:43.705975,0 days 00:00:06.086264,1.1345160862464647,0.6416896724047102,0.30984295590844846,1,COMPLETE
15,15,0.030639183067939814,2023-12-09 15:37:43.706604,2023-12-09 15:37:49.716013,0 days 00:00:06.009409,1.0275379252181291,1.0250011330954238,0.2928536287814728,2,COMPLETE
16,16,0.02998707035624155,2023-12-09 15:37:49.717226,2023-12-09 15:37:55.629884,0 days 00:00:05.912658,1.3613539549088236,0.5627112812322093,0.5514638561388426,1,COMPLETE
17,17,0.030621540232939483,2023-12-09 15:37:55.631154,2023-12-09 15:38:01.866843,0 days 00:00:06.235689,1.597604445875045,0.5358918517415114,0.2538946558904258,2,COMPLETE
