,number,value,datetime_start,datetime_complete,duration,params_alpha,system_attrs_fixed_params,state
0,0,0.028184437003968346,2023-12-08 20:39:31.945744,2023-12-08 20:39:36.063342,0 days 00:00:04.117598,0.4617199132501507,{'alpha': 0.4617199132501507},COMPLETE
1,1,0.02818387896825413,2023-12-08 20:39:36.063942,2023-12-08 20:39:40.497481,0 days 00:00:04.433539,0.5337305317855341,,COMPLETE
2,2,0.028133804563492106,2023-12-08 20:39:40.497987,2023-12-08 20:39:44.839068,0 days 00:00:04.341081,0.35680201478787993,,COMPLETE
3,3,0.028186722883598046,2023-12-08 20:39:44.839636,2023-12-08 20:39:49.332521,0 days 00:00:04.492885,0.5580952705877669,,COMPLETE
4,4,0.028194444444444522,2023-12-08 20:39:49.333195,2023-12-08 20:39:53.850573,0 days 00:00:04.517378,0.48064221963851916,,COMPLETE
5,5,0.02819355985449743,2023-12-08 20:39:53.851215,2023-12-08 20:39:58.228723,0 days 00:00:04.377508,0.4807394697779317,,COMPLETE
6,6,0.028199834656084815,2023-12-08 20:39:58.229258,2023-12-08 20:40:02.487198,0 days 00:00:04.257940,0.5615378626837628,,COMPLETE
7,7,0.028188880621693196,2023-12-08 20:40:02.487856,2023-12-08 20:40:06.794730,0 days 00:00:04.306874,0.47640252898899615,,COMPLETE
8,8,0.028102087466931387,2023-12-08 20:40:06.795239,2023-12-08 20:40:11.251300,0 days 00:00:04.456061,0.609896014887335,,COMPLETE
9,9,0.02816090856481493,2023-12-08 20:40:11.251846,2023-12-08 20:40:15.652399,0 days 00:00:04.400553,0.5016824960886811,,COMPLETE
10,10,0.028146445105820265,2023-12-08 20:40:15.652912,2023-12-08 20:40:20.278590,0 days 00:00:04.625678,0.6407473837342383,,COMPLETE
11,11,0.028189926421957848,2023-12-08 20:40:20.279129,2023-12-08 20:40:24.768774,0 days 00:00:04.489645,0.5463394979620593,,COMPLETE
12,12,0.028186115244709063,2023-12-08 20:40:24.769292,2023-12-08 20:40:29.236272,0 days 00:00:04.466980,0.4156932724146189,,COMPLETE
13,13,0.02821588955026473,2023-12-08 20:40:29.236877,2023-12-08 20:40:33.755459,0 days 00:00:04.518582,0.5808429197263173,,COMPLETE
14,14,0.02816828703703723,2023-12-08 20:40:33.755998,2023-12-08 20:40:38.319034,0 days 00:00:04.563036,0.5898335554527823,,COMPLETE
15,15,0.02821898148148167,2023-12-08 20:40:38.319509,2023-12-08 20:40:42.848084,0 days 00:00:04.528575,0.5745696664976648,,COMPLETE
16,16,0.028114827215608606,2023-12-08 20:40:42.848662,2023-12-08 20:40:47.420202,0 days 00:00:04.571540,0.6434350124666494,,COMPLETE
17,17,0.02815668402777797,2023-12-08 20:40:47.420692,2023-12-08 20:40:51.866927,0 days 00:00:04.446235,0.590842418719914,,COMPLETE
18,18,0.0281022362764552,2023-12-08 20:40:51.867468,2023-12-08 20:40:56.300812,0 days 00:00:04.433344,0.6102469095592526,,COMPLETE
19,19,0.028156204530423425,2023-12-08 20:40:56.301348,2023-12-08 20:41:00.764624,0 days 00:00:04.463276,0.524169485460784,,COMPLETE
20,20,0.028216617063492256,2023-12-08 20:41:00.765225,2023-12-08 20:41:05.312626,0 days 00:00:04.547401,0.5733650142339274,,COMPLETE
21,21,0.028214810681217114,2023-12-08 20:41:05.313179,2023-12-08 20:41:09.774072,0 days 00:00:04.460893,0.5691144313067447,,COMPLETE
22,22,0.028191125165344097,2023-12-08 20:41:09.774855,2023-12-08 20:41:14.188608,0 days 00:00:04.413753,0.5854665580999209,,COMPLETE
23,23,0.0281591145833335,2023-12-08 20:41:14.189115,2023-12-08 20:41:18.764162,0 days 00:00:04.575047,0.5280204139114989,,COMPLETE
24,24,0.028212690145502838,2023-12-08 20:41:18.764802,2023-12-08 20:41:23.387393,0 days 00:00:04.622591,0.5724064557737141,,COMPLETE
25,25,0.028100338955026647,2023-12-08 20:41:23.388001,2023-12-08 20:41:27.865921,0 days 00:00:04.477920,0.6170317038373822,,COMPLETE
26,26,0.028191108630952543,2023-12-08 20:41:27.866633,2023-12-08 20:41:32.294988,0 days 00:00:04.428355,0.5554783094108326,,COMPLETE
27,27,0.028107824900793825,2023-12-08 20:41:32.295524,2023-12-08 20:41:36.753590,0 days 00:00:04.458066,0.6223569057600863,,COMPLETE
28,28,0.028160412533068974,2023-12-08 20:41:36.754180,2023-12-08 20:41:41.247527,0 days 00:00:04.493347,0.5902765919398589,,COMPLETE
29,29,0.02815051256613767,2023-12-08 20:41:41.248188,2023-12-08 20:41:45.551524,0 days 00:00:04.303336,0.5100007657818666,,COMPLETE
30,30,0.028188814484127155,2023-12-08 20:41:45.552153,2023-12-08 20:41:49.950821,0 days 00:00:04.398668,0.5440014981041711,,COMPLETE
31,31,0.028216220238095426,2023-12-08 20:41:49.951310,2023-12-08 20:41:54.464811,0 days 00:00:04.513501,0.575990285804861,,COMPLETE
32,32,0.028220920138889063,2023-12-08 20:41:54.465377,2023-12-08 20:41:58.881271,0 days 00:00:04.415894,0.5769786639872677,,COMPLETE
33,33,0.028207481812169477,2023-12-08 20:41:58.881793,2023-12-08 20:42:03.014134,0 days 00:00:04.132341,0.5379405240909425,,COMPLETE
34,34,0.028199069940476353,2023-12-08 20:42:03.014670,2023-12-08 20:42:07.305156,0 days 00:00:04.290486,0.5610315632612788,,COMPLETE
35,35,0.028150136408730334,2023-12-08 20:42:07.305736,2023-12-08 20:42:11.777850,0 days 00:00:04.472114,0.59982977662194,,COMPLETE
36,36,0.028208436673280612,2023-12-08 20:42:11.778372,2023-12-08 20:42:16.256600,0 days 00:00:04.478228,0.572163102452063,,COMPLETE
37,37,0.02815635333994724,2023-12-08 20:42:16.257124,2023-12-08 20:42:20.682098,0 days 00:00:04.424974,0.522711931038973,,COMPLETE
38,38,0.028211813822751487,2023-12-08 20:42:20.682720,2023-12-08 20:42:25.302234,0 days 00:00:04.619514,0.5509225444567073,,COMPLETE
39,39,0.0281139798280425,2023-12-08 20:42:25.302882,2023-12-08 20:42:29.609968,0 days 00:00:04.307086,0.6048420523736887,,COMPLETE
40,40,0.028217555390211826,2023-12-08 20:42:29.610607,2023-12-08 20:42:34.097772,0 days 00:00:04.487165,0.5742456783580291,,COMPLETE
41,41,0.02821757605820125,2023-12-08 20:42:34.098547,2023-12-08 20:42:38.490438,0 days 00:00:04.391891,0.5758363250912455,,COMPLETE
42,42,0.028188326719576877,2023-12-08 20:42:38.490937,2023-12-08 20:42:42.781998,0 days 00:00:04.291061,0.5589065987823443,,COMPLETE
43,43,0.02821336805555572,2023-12-08 20:42:42.782592,2023-12-08 20:42:47.224092,0 days 00:00:04.441500,0.5371678305887487,,COMPLETE
44,44,0.028110602678571593,2023-12-08 20:42:47.224657,2023-12-08 20:42:51.724339,0 days 00:00:04.499682,0.6242561764909043,,COMPLETE
45,45,0.028166195436508095,2023-12-08 20:42:51.725000,2023-12-08 20:42:56.300065,0 days 00:00:04.575065,0.5962196801884245,,COMPLETE
46,46,0.028224276620370546,2023-12-08 20:42:56.300596,2023-12-08 20:43:00.773989,0 days 00:00:04.473393,0.5785526792066165,,COMPLETE
47,47,0.028211813822751487,2023-12-08 20:43:00.774494,2023-12-08 20:43:05.162816,0 days 00:00:04.388322,0.5508780436709623,,COMPLETE
48,48,0.028195081018518694,2023-12-08 20:43:05.163539,2023-12-08 20:43:09.449858,0 days 00:00:04.286319,0.5844513831781575,,COMPLETE
49,49,0.028131576554232963,2023-12-08 20:43:09.450590,2023-12-08 20:43:13.900209,0 days 00:00:04.449619,0.6347972077064672,,COMPLETE
50,50,0.02810709325396843,2023-12-08 20:43:13.900803,2023-12-08 20:43:18.183611,0 days 00:00:04.282808,0.605009519206922,,COMPLETE
51,51,0.028213132440476366,2023-12-08 20:43:18.184107,2023-12-08 20:43:22.520487,0 days 00:00:04.336380,0.5672036429239716,,COMPLETE
