,number,value,datetime_start,datetime_complete,duration,params_normalize,params_shrink,params_similarity,params_topK,state
0,0,0.02608764005137067,2023-12-08 21:51:23.982013,2023-12-08 21:51:29.545001,0 days 00:00:05.562988,False,62,dice,136,COMPLETE
1,1,0.024691317605825422,2023-12-08 21:51:29.545593,2023-12-08 21:51:36.403580,0 days 00:00:06.857987,True,108,tanimoto,346,COMPLETE
2,2,0.021577025090626166,2023-12-08 21:51:36.404262,2023-12-08 21:51:43.665027,0 days 00:00:07.260765,False,528,jaccard,317,COMPLETE
3,3,0.0212547250533002,2023-12-08 21:51:43.665580,2023-12-08 21:51:51.513809,0 days 00:00:07.848229,True,269,dice,796,COMPLETE
4,4,0.020459872237722023,2023-12-08 21:51:51.514438,2023-12-08 21:51:58.350503,0 days 00:00:06.836065,False,972,dice,240,COMPLETE
5,5,0.02236290228194375,2023-12-08 21:51:58.351049,2023-12-08 21:52:06.064038,0 days 00:00:07.712989,False,178,dice,683,COMPLETE
6,6,0.026329562780340054,2023-12-08 21:52:06.064644,2023-12-08 21:52:11.852375,0 days 00:00:05.787731,False,50,tversky,175,COMPLETE
7,7,0.01924159929017439,2023-12-08 21:52:11.853155,2023-12-08 21:52:19.631787,0 days 00:00:07.778632,True,606,tanimoto,791,COMPLETE
8,8,0.023237661877558297,2023-12-08 21:52:19.632464,2023-12-08 21:52:26.527888,0 days 00:00:06.895424,False,321,tanimoto,260,COMPLETE
9,9,0.01912064187970926,2023-12-08 21:52:26.528439,2023-12-08 21:52:34.150157,0 days 00:00:07.621718,True,946,tversky,458,COMPLETE
10,10,0.02344143622641043,2023-12-08 21:52:34.150863,2023-12-08 21:52:39.473738,0 days 00:00:05.322875,False,689,tversky,34,COMPLETE
11,11,0.025578773558048204,2023-12-08 21:52:39.474317,2023-12-08 21:52:43.699741,0 days 00:00:04.225424,False,1,tversky,23,COMPLETE
12,12,0.02393085685184134,2023-12-08 21:52:43.700505,2023-12-08 21:52:49.863632,0 days 00:00:06.163127,False,333,jaccard,123,COMPLETE
13,13,0.023444741786710754,2023-12-08 21:52:49.864271,2023-12-08 21:52:56.636851,0 days 00:00:06.772580,False,1,dice,465,COMPLETE
14,14,0.02332182318257449,2023-12-08 21:52:56.637491,2023-12-08 21:53:03.037711,0 days 00:00:06.400220,False,409,tversky,154,COMPLETE
15,15,0.02271676330290323,2023-12-08 21:53:03.038284,2023-12-08 21:53:10.620657,0 days 00:00:07.582373,False,155,dice,618,COMPLETE
16,16,0.021705894494106936,2023-12-08 21:53:10.621288,2023-12-08 21:53:17.213094,0 days 00:00:06.591806,False,794,tversky,163,COMPLETE
17,17,0.02454923782320158,2023-12-08 21:53:17.213685,2023-12-08 21:53:24.340126,0 days 00:00:07.126441,False,101,jaccard,386,COMPLETE
18,18,0.020624841839220105,2023-12-08 21:53:24.340708,2023-12-08 21:53:31.764117,0 days 00:00:07.423409,True,439,tversky,561,COMPLETE
19,19,0.021620890982937586,2023-12-08 21:53:31.764652,2023-12-08 21:53:39.783940,0 days 00:00:08.019288,False,239,dice,893,COMPLETE
20,20,0.025833155402456003,2023-12-08 21:53:39.784523,2023-12-08 21:53:45.077957,0 days 00:00:05.293434,False,85,dice,115,COMPLETE
21,21,0.026181638956898096,2023-12-08 21:53:45.078584,2023-12-08 21:53:50.294022,0 days 00:00:05.215438,False,66,dice,89,COMPLETE
22,22,0.024185124029683716,2023-12-08 21:53:50.294667,2023-12-08 21:53:56.974073,0 days 00:00:06.679406,False,208,dice,223,COMPLETE
23,23,0.024980206178392656,2023-12-08 21:53:56.974631,2023-12-08 21:54:01.213113,0 days 00:00:04.238482,False,0,dice,32,COMPLETE
24,24,0.026082519596120665,2023-12-08 21:54:01.213677,2023-12-08 21:54:06.628864,0 days 00:00:05.415187,False,63,dice,109,COMPLETE
25,25,0.023640738579210147,2023-12-08 21:54:06.629411,2023-12-08 21:54:13.174695,0 days 00:00:06.545284,False,306,tversky,203,COMPLETE
26,26,0.0243314069350339,2023-12-08 21:54:13.175227,2023-12-08 21:54:20.092080,0 days 00:00:06.916853,True,169,jaccard,295,COMPLETE
27,27,0.02186594134132992,2023-12-08 21:54:20.092875,2023-12-08 21:54:27.397382,0 days 00:00:07.304507,False,410,tanimoto,381,COMPLETE
28,28,0.026237501344366726,2023-12-08 21:54:27.397900,2023-12-08 21:54:32.604366,0 days 00:00:05.206466,False,65,dice,83,COMPLETE
29,29,0.025471461468870825,2023-12-08 21:54:32.605034,2023-12-08 21:54:37.821356,0 days 00:00:05.216322,False,129,dice,71,COMPLETE
30,30,0.024260396698868286,2023-12-08 21:54:37.821925,2023-12-08 21:54:44.443460,0 days 00:00:06.621535,False,228,tversky,197,COMPLETE
31,31,0.026240569663497183,2023-12-08 21:54:44.444109,2023-12-08 21:54:49.570108,0 days 00:00:05.125999,False,66,dice,86,COMPLETE
32,32,0.026455798806835195,2023-12-08 21:54:49.570677,2023-12-08 21:54:53.568100,0 days 00:00:03.997423,False,63,dice,5,COMPLETE
33,33,0.026610033245396104,2023-12-08 21:54:53.568681,2023-12-08 21:54:58.024543,0 days 00:00:04.455862,False,51,dice,34,COMPLETE
34,34,0.025398371418449164,2023-12-08 21:54:58.025149,2023-12-08 21:55:02.252376,0 days 00:00:04.227227,True,130,dice,5,COMPLETE
35,35,0.026143462898644353,2023-12-08 21:55:02.252983,2023-12-08 21:55:08.041744,0 days 00:00:05.788761,False,36,dice,170,COMPLETE
36,36,0.02336850433676863,2023-12-08 21:55:08.042400,2023-12-08 21:55:14.746719,0 days 00:00:06.704319,False,285,tanimoto,286,COMPLETE
37,37,0.025197250216680296,2023-12-08 21:55:14.747271,2023-12-08 21:55:19.965348,0 days 00:00:05.218077,False,167,dice,78,COMPLETE
38,38,0.023453235020592534,2023-12-08 21:55:19.965885,2023-12-08 21:55:27.015998,0 days 00:00:07.050113,True,219,jaccard,345,COMPLETE
39,39,0.02223710910563248,2023-12-08 21:55:27.016516,2023-12-08 21:55:33.717065,0 days 00:00:06.700549,False,491,dice,247,COMPLETE
40,40,0.02068598679673806,2023-12-08 21:55:33.717659,2023-12-08 21:55:41.519451,0 days 00:00:07.801792,False,354,tanimoto,1000,COMPLETE
41,41,0.026339451783104737,2023-12-08 21:55:41.520043,2023-12-08 21:55:46.254946,0 days 00:00:04.734903,False,65,dice,61,COMPLETE
42,42,0.026276831976313923,2023-12-08 21:55:46.255485,2023-12-08 21:55:50.584103,0 days 00:00:04.328618,False,102,dice,10,COMPLETE
43,43,0.02593136138472928,2023-12-08 21:55:50.584689,2023-12-08 21:55:55.370336,0 days 00:00:04.785647,False,124,dice,42,COMPLETE
44,44,0.02714489741691822,2023-12-08 21:55:55.370896,2023-12-08 21:55:59.571890,0 days 00:00:04.200994,False,40,dice,10,COMPLETE
45,45,0.027230529617187745,2023-12-08 21:55:59.572455,2023-12-08 21:56:04.161659,0 days 00:00:04.589204,False,30,tversky,56,COMPLETE
46,46,0.026359601466466813,2023-12-08 21:56:04.162216,2023-12-08 21:56:09.331174,0 days 00:00:05.168958,True,31,dice,134,COMPLETE
47,47,0.026961680015436584,2023-12-08 21:56:09.331754,2023-12-08 21:56:14.371922,0 days 00:00:05.040168,True,24,tversky,127,COMPLETE
48,48,0.022582939512991354,2023-12-08 21:56:14.372590,2023-12-08 21:56:20.570742,0 days 00:00:06.198152,True,618,tversky,136,COMPLETE
49,49,0.02294380310248191,2023-12-08 21:56:20.571305,2023-12-08 21:56:25.857076,0 days 00:00:05.285771,True,844,tversky,39,COMPLETE
50,50,0.02491408706434614,2023-12-08 21:56:25.857651,2023-12-08 21:56:32.923846,0 days 00:00:07.066195,True,15,tversky,732,COMPLETE
51,51,0.026819196922823963,2023-12-08 21:56:32.924417,2023-12-08 21:56:37.977408,0 days 00:00:05.052991,True,32,tversky,118,COMPLETE
52,52,0.025880263590755848,2023-12-08 21:56:37.978050,2023-12-08 21:56:42.105102,0 days 00:00:04.127052,True,129,tversky,9,COMPLETE
53,53,0.02464989529756375,2023-12-08 21:56:42.105686,2023-12-08 21:56:48.080987,0 days 00:00:05.975301,True,187,tversky,158,COMPLETE
54,54,0.027068774633541667,2023-12-08 21:56:48.081531,2023-12-08 21:56:52.651306,0 days 00:00:04.569775,True,35,tversky,49,COMPLETE
55,55,0.026922578716620228,2023-12-08 21:56:52.651908,2023-12-08 21:56:57.869645,0 days 00:00:05.217737,True,27,tversky,112,COMPLETE
56,56,0.026091661289200197,2023-12-08 21:56:57.870241,2023-12-08 21:57:03.293512,0 days 00:00:05.423271,True,3,tversky,192,COMPLETE
57,57,0.025725815635142105,2023-12-08 21:57:03.294148,2023-12-08 21:57:08.682927,0 days 00:00:05.388779,True,100,tversky,118,COMPLETE
58,58,0.02472832327430778,2023-12-08 21:57:08.683496,2023-12-08 21:57:15.104155,0 days 00:00:06.420659,True,150,tversky,233,COMPLETE
59,59,0.024907309874926457,2023-12-08 21:57:15.104655,2023-12-08 21:57:21.792736,0 days 00:00:06.688081,True,32,tversky,526,COMPLETE
60,60,0.025946932313512697,2023-12-08 21:57:21.793267,2023-12-08 21:57:26.804423,0 days 00:00:05.011156,True,99,tversky,101,COMPLETE
61,61,0.027123810630935066,2023-12-08 21:57:26.804945,2023-12-08 21:57:31.356431,0 days 00:00:04.551486,True,39,tversky,56,COMPLETE
62,62,0.027235539359891783,2023-12-08 21:57:31.357014,2023-12-08 21:57:35.983853,0 days 00:00:04.626839,True,32,tversky,60,COMPLETE
63,63,0.026141351452232373,2023-12-08 21:57:35.984492,2023-12-08 21:57:41.095546,0 days 00:00:05.111054,True,92,tversky,84,COMPLETE
64,64,0.024437137416412087,2023-12-08 21:57:41.096085,2023-12-08 21:57:46.437848,0 days 00:00:05.341763,True,0,tversky,157,COMPLETE
65,65,0.025661040887724897,2023-12-08 21:57:46.438383,2023-12-08 21:57:51.320903,0 days 00:00:04.882520,True,148,tversky,59,COMPLETE
66,66,0.025242452567582223,2023-12-08 21:57:51.321493,2023-12-08 21:57:56.411175,0 days 00:00:05.089682,True,192,tversky,61,COMPLETE
67,67,0.024021514610892927,2023-12-08 21:57:56.411779,2023-12-08 21:58:02.784643,0 days 00:00:06.372864,True,251,tversky,213,COMPLETE
68,68,0.02636101700544719,2023-12-08 21:58:02.785273,2023-12-08 21:58:07.320854,0 days 00:00:04.535581,True,83,tversky,48,COMPLETE
69,69,0.024809515110680927,2023-12-08 21:58:07.321472,2023-12-08 21:58:14.279049,0 days 00:00:06.957577,True,32,jaccard,613,COMPLETE
70,70,0.026741785129090853,2023-12-08 21:58:14.279574,2023-12-08 21:58:19.584393,0 days 00:00:05.304819,True,43,tversky,144,COMPLETE
71,71,0.026810513896006284,2023-12-08 21:58:19.585043,2023-12-08 21:58:24.721509,0 days 00:00:05.136466,True,36,tversky,110,COMPLETE
72,72,0.025755652666274463,2023-12-08 21:58:24.722103,2023-12-08 21:58:30.520488,0 days 00:00:05.798385,True,79,tversky,184,COMPLETE
73,73,0.025611251874205283,2023-12-08 21:58:30.521218,2023-12-08 21:58:35.888632,0 days 00:00:05.367414,True,114,tversky,111,COMPLETE
74,74,0.027419966691339864,2023-12-08 21:58:35.889322,2023-12-08 21:58:40.235180,0 days 00:00:04.345858,True,22,tversky,37,COMPLETE
