,number,value,datetime_start,datetime_complete,duration,params_alpha,params_topK,state
0,0,0.03142955993344627,2023-12-18 18:15:54.928758,2023-12-18 18:16:04.719304,0 days 00:00:09.790546,0.30997722161199365,629,COMPLETE
1,1,0.03131763745753411,2023-12-18 18:16:04.720402,2023-12-18 18:16:14.213588,0 days 00:00:09.493186,0.5512704221356964,568,COMPLETE
2,2,0.03135604680293822,2023-12-18 18:16:14.214489,2023-12-18 18:16:22.514330,0 days 00:00:08.299841,0.5083380564922562,493,COMPLETE
3,3,0.03137272090316156,2023-12-18 18:16:22.515217,2023-12-18 18:16:31.503231,0 days 00:00:08.988014,0.5403428336566187,669,COMPLETE
4,4,0.03126977405151003,2023-12-18 18:16:31.504070,2023-12-18 18:16:40.831151,0 days 00:00:09.327081,0.5762619252348546,359,COMPLETE
5,5,0.03127184200370755,2023-12-18 18:16:40.832244,2023-12-18 18:16:52.912420,0 days 00:00:12.080176,0.5693603573574711,578,COMPLETE
6,6,0.031376445589528734,2023-12-18 18:16:52.913883,2023-12-18 18:17:06.307519,0 days 00:00:13.393636,0.5230987081013396,583,COMPLETE
7,7,0.03131732508999384,2023-12-18 18:17:06.308551,2023-12-18 18:17:18.249783,0 days 00:00:11.941232,0.2539196807188236,370,COMPLETE
8,8,0.03122869969696425,2023-12-18 18:17:18.250643,2023-12-18 18:17:27.725707,0 days 00:00:09.475064,0.24660102612096685,437,COMPLETE
9,9,0.031355940044411806,2023-12-18 18:17:27.726541,2023-12-18 18:17:37.789963,0 days 00:00:10.063422,0.5417523807154554,497,COMPLETE
10,10,0.03139149458773838,2023-12-18 18:17:37.791509,2023-12-18 18:17:48.131873,0 days 00:00:10.340364,0.3594358103946793,696,COMPLETE
11,11,0.031382341032600396,2023-12-18 18:17:48.132683,2023-12-18 19:17:58.841567,0 days 01:00:10.708884,0.34622070175717407,676,COMPLETE
12,12,0.03138548447810135,2023-12-18 19:17:58.843706,2023-12-18 19:18:08.290420,0 days 00:00:09.446714,0.3610455324459092,698,COMPLETE
13,13,0.031414783762581985,2023-12-18 19:18:08.291547,2023-12-18 19:18:17.228395,0 days 00:00:08.936848,0.30642376704712393,636,COMPLETE
14,14,0.03143960314297131,2023-12-18 19:18:17.229344,2023-12-18 19:18:26.137751,0 days 00:00:08.908407,0.2955303548055208,630,COMPLETE
15,15,0.031164241271106827,2023-12-18 19:18:26.138702,2023-12-18 19:18:35.955938,0 days 00:00:09.817236,0.21767092369234559,624,COMPLETE
16,16,0.03145115283392508,2023-12-18 19:18:35.956983,2023-12-18 19:18:45.193727,0 days 00:00:09.236744,0.4376550346381663,620,COMPLETE
17,17,0.0314769725812474,2023-12-18 19:18:45.194583,2023-12-18 19:18:54.690266,0 days 00:00:09.495683,0.4594303245856034,545,COMPLETE
18,18,0.03146804045120131,2023-12-18 19:18:54.691338,2023-12-18 19:19:04.001397,0 days 00:00:09.310059,0.45331581905485496,539,COMPLETE
19,19,0.031471867942075404,2023-12-18 19:19:04.002640,2023-12-18 19:19:13.694053,0 days 00:00:09.691413,0.4392704583356487,530,COMPLETE
