,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_normalize_similarity,params_topK,system_attrs_fixed_params,state
0,0,0.026549311367964273,2023-12-08 21:49:33.288127,2023-12-08 21:49:39.033757,0 days 00:00:05.745630,0.8604387480969916,0.1537736651871471,True,46,"{'topK': 46, 'alpha': 0.8604387480969916, 'beta': 0.1537736651871471, 'normalize_similarity': True}",COMPLETE
1,1,0.030084042684431538,2023-12-08 21:49:39.034906,2023-12-08 21:49:44.535476,0 days 00:00:05.500570,0.24025759098180052,0.21463311953617964,True,41,"{'topK': 41, 'alpha': 0.24025759098180052, 'beta': 0.21463311953617964, 'normalize_similarity': True}",COMPLETE
2,2,0.01886272909588971,2023-12-08 21:49:44.536094,2023-12-08 21:49:54.248459,0 days 00:00:09.712365,0.9277368580609887,0.03357694998318159,False,300,,COMPLETE
3,3,0.02259310925114044,2023-12-08 21:49:54.249146,2023-12-08 21:50:12.063163,0 days 00:00:17.814017,0.7775638081230689,0.03692313946614001,False,1100,,COMPLETE
4,4,0.026093472230130362,2023-12-08 21:50:12.064029,2023-12-08 21:50:22.158840,0 days 00:00:10.094811,0.42480147342287844,0.2984572481562814,True,258,,COMPLETE
5,5,0.019323676826915194,2023-12-08 21:50:22.159456,2023-12-08 21:50:36.212904,0 days 00:00:14.053448,0.3934571683404423,0.16461727680607977,False,569,,COMPLETE
6,6,0.022071147045240345,2023-12-08 21:50:36.213469,2023-12-08 21:50:50.066638,0 days 00:00:13.853169,0.20915524657441756,0.36654408012661593,False,559,,COMPLETE
7,7,0.019943153061676374,2023-12-08 21:50:50.067184,2023-12-08 21:51:07.052091,0 days 00:00:16.984907,0.5838332686262936,0.13260200172656728,False,1042,,COMPLETE
8,8,0.021278405676074107,2023-12-08 21:51:07.052614,2023-12-08 21:51:26.271447,0 days 00:00:19.218833,0.5913791835408504,0.3588009843510101,True,1258,,COMPLETE
9,9,0.01423881170642825,2023-12-08 21:51:26.272093,2023-12-08 21:51:34.640333,0 days 00:00:08.368240,0.9543564927395157,0.08818774918293482,False,184,,COMPLETE
10,10,0.023261809074632926,2023-12-08 21:51:34.640957,2023-12-08 21:51:51.319898,0 days 00:00:16.678941,0.12625302645469944,0.2487085118542921,True,791,,COMPLETE
11,11,0.025805682874983405,2023-12-08 21:51:51.320521,2023-12-08 21:51:56.513019,0 days 00:00:05.192498,0.7610079319664608,0.20508746094028216,True,14,,COMPLETE
12,12,0.030100590256030926,2023-12-08 21:51:56.513582,2023-12-08 21:52:02.225281,0 days 00:00:05.711699,0.2940366325176169,0.21247673810899353,True,47,,COMPLETE
13,13,0.02465971708199694,2023-12-08 21:52:02.225902,2023-12-08 21:52:15.154600,0 days 00:00:12.928698,0.2621375249674994,0.2391873297049218,True,461,,COMPLETE
14,14,0.023044456622824568,2023-12-08 21:52:15.155167,2023-12-08 21:52:31.440985,0 days 00:00:16.285818,0.10054655658713016,0.2851772111299162,True,776,,COMPLETE
15,15,0.02510550114824727,2023-12-08 21:52:31.441628,2023-12-08 21:52:43.201541,0 days 00:00:11.759913,0.2887601450365262,0.2249503425914379,True,396,,COMPLETE
16,16,0.02881472334516391,2023-12-08 21:52:43.202108,2023-12-08 21:52:50.690575,0 days 00:00:07.488467,0.37260594991625245,0.18101625815612327,True,127,,COMPLETE
17,17,0.02344113967494798,2023-12-08 21:52:50.691208,2023-12-08 21:53:10.451551,0 days 00:00:19.760343,0.4815156585672878,0.12242704973488452,True,1484,,COMPLETE
18,18,0.025785224778100475,2023-12-08 21:53:10.452156,2023-12-08 21:53:21.338991,0 days 00:00:10.886835,0.2090466267130442,0.18767328911005718,True,318,,COMPLETE
19,19,0.023957471357082816,2023-12-08 21:53:21.339550,2023-12-08 21:53:36.217288,0 days 00:00:14.877738,0.3148156482808959,0.3029531214257346,True,628,,COMPLETE
20,20,0.023187224404841077,2023-12-08 21:53:36.218161,2023-12-08 21:53:53.581104,0 days 00:00:17.362943,0.18956415053312706,0.25352655190221485,True,911,,COMPLETE
21,21,0.028503577596842033,2023-12-08 21:53:53.581804,2023-12-08 21:54:00.999141,0 days 00:00:07.417337,0.3167272167690527,0.18263878851600726,True,135,,COMPLETE
22,22,0.028549614245858015,2023-12-08 21:54:00.999815,2023-12-08 21:54:08.618257,0 days 00:00:07.618442,0.3474207583176095,0.2012106023937674,True,131,,COMPLETE
23,23,0.02357193073190481,2023-12-08 21:54:08.618775,2023-12-08 21:54:13.302074,0 days 00:00:04.683299,0.4695461548588117,0.21596408246752374,True,5,,COMPLETE
24,24,0.027933914099717357,2023-12-08 21:54:13.302807,2023-12-08 21:54:21.756207,0 days 00:00:08.453400,0.37090905916465106,0.16654587694833822,True,187,,COMPLETE
25,25,0.02593573453029415,2023-12-08 21:54:21.756776,2023-12-08 21:54:33.816813,0 days 00:00:12.060037,0.2449477099558741,0.10306515408760944,True,428,,COMPLETE
26,26,0.029152277989713322,2023-12-08 21:54:33.817365,2023-12-08 21:54:41.010238,0 days 00:00:07.192873,0.1547267935021711,0.14875126758089302,True,113,,COMPLETE
