,number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_topK,system_attrs_fixed_params,state
0,0,0.027342464451058254,2023-12-08 12:31:18.778010,2023-12-08 12:36:09.982745,0 days 00:04:51.204735,0.001,0.03534306561986866,6468,"{'topK': 6468, 'l1_ratio': 0.03534306561986866, 'alpha': 0.001}",COMPLETE
1,1,0.02423416832010579,2023-12-08 12:36:09.983915,2023-12-08 12:37:40.146640,0 days 00:01:30.162725,0.006677013171077712,0.08230746600715808,5701,,COMPLETE
2,2,0.026083874834656115,2023-12-08 12:37:40.147144,2023-12-08 12:41:13.117988,0 days 00:03:32.970844,0.007572910411805942,0.012851156780997137,3098,,COMPLETE
3,3,0.017528046461640204,2023-12-08 12:41:13.118567,2023-12-08 12:42:24.985748,0 days 00:01:11.867181,0.03807104904772163,0.07812990876005185,3943,,COMPLETE
4,4,0.02025295552248674,2023-12-08 12:42:24.986401,2023-12-08 12:43:42.097010,0 days 00:01:17.110609,0.04717028887869692,0.022022706870864685,8462,,COMPLETE
5,5,0.02209885085978835,2023-12-08 12:43:42.097537,2023-12-08 12:45:09.913739,0 days 00:01:27.816202,0.028906712759510542,0.020604781624641307,8249,,COMPLETE
6,6,0.02111496775793649,2023-12-08 12:45:09.914343,2023-12-08 12:46:24.571935,0 days 00:01:14.657592,0.02369037447130595,0.04516566291199998,7539,,COMPLETE
7,7,0.02023841352513228,2023-12-08 12:46:24.577613,2023-12-08 12:47:36.819585,0 days 00:01:12.241972,0.024161965343559445,0.06070502210154105,4452,,COMPLETE
8,8,0.025683506944444465,2023-12-08 12:47:36.820213,2023-12-08 12:50:58.558478,0 days 00:03:21.738265,0.009474775128139538,0.01247747932680159,4893,,COMPLETE
9,9,0.023536553406084598,2023-12-08 12:50:58.559142,2023-12-08 12:52:23.545923,0 days 00:01:24.986781,0.009537469012922649,0.06570532830049386,3376,,COMPLETE
10,10,0.027100967261904755,2023-12-08 12:52:23.546451,2023-12-08 12:57:11.128465,0 days 00:04:47.582014,0.0007561343065711108,0.041180250145545744,6627,,COMPLETE
11,11,0.02665326967592592,2023-12-08 12:57:11.129017,2023-12-08 13:01:58.235675,0 days 00:04:47.106658,0.0005244223011627203,0.03868506348290087,1012,,COMPLETE
12,12,0.02748490823412707,2023-12-08 13:01:58.236172,2023-12-08 13:06:22.323372,0 days 00:04:24.087200,0.0012812054186341782,0.03659854387723134,6658,,COMPLETE
13,13,0.020496250826719565,2023-12-08 13:06:22.323896,2023-12-08 13:07:28.187854,0 days 00:01:05.863958,0.015826708704740004,0.0968359207581272,9746,,COMPLETE
14,14,0.023445151289682508,2023-12-08 13:07:28.188406,2023-12-08 13:08:50.924874,0 days 00:01:22.736468,0.015061819341380282,0.03190516114950562,6216,,COMPLETE
15,15,0.02731809689153442,2023-12-08 13:08:50.925365,2023-12-08 13:13:21.224423,0 days 00:04:30.299058,0.0007399293873142844,0.05520595618591732,6977,,COMPLETE
16,16,0.023297304894179797,2023-12-08 13:13:21.225010,2023-12-08 13:14:43.566117,0 days 00:01:22.341107,0.016537807746931435,0.0302387949756836,9905,,COMPLETE
17,17,0.026063983961640197,2023-12-08 13:14:43.566704,2023-12-08 13:16:36.703472,0 days 00:01:53.136768,0.004788669651417767,0.05154204829946642,5442,,COMPLETE
18,18,0.023578773974867684,2023-12-08 13:16:36.704047,2023-12-08 13:17:59.990052,0 days 00:01:23.286005,0.01372773276145691,0.03514249527960659,8031,,COMPLETE
19,19,0.02649593667328048,2023-12-08 13:17:59.990668,2023-12-08 13:20:21.381993,0 days 00:02:21.391325,0.004103519969535712,0.04721419514984784,1620,,COMPLETE
20,20,0.024321226025132266,2023-12-08 13:20:21.382605,2023-12-08 13:21:57.617046,0 days 00:01:36.234441,0.011246876348084009,0.03218081619078479,7180,,COMPLETE
21,21,0.027448776455026535,2023-12-08 13:21:57.617538,2023-12-08 13:25:17.460223,0 days 00:03:19.842685,0.0016814816631572447,0.05250326670246981,6697,,COMPLETE
22,22,0.026032399140211656,2023-12-08 13:25:17.460773,2023-12-08 13:27:30.234354,0 days 00:02:12.773581,0.0053372977376191354,0.04306003790666915,6035,,COMPLETE
23,23,0.026465447255291038,2023-12-08 13:27:30.234960,2023-12-08 13:29:48.808172,0 days 00:02:18.573212,0.003975092448120908,0.053872688121535416,5150,,COMPLETE
24,24,0.024090372850529094,2023-12-08 13:29:48.808722,2023-12-08 13:31:16.773516,0 days 00:01:27.964794,0.010874601698434856,0.039053870672553795,8982,,COMPLETE
25,25,0.026654637896825453,2023-12-08 13:31:16.774058,2023-12-08 13:33:39.757158,0 days 00:02:22.983100,0.0035797809541796813,0.047850954816748476,6678,,COMPLETE
26,26,0.026126062334656145,2023-12-08 13:33:39.757723,2023-12-08 13:38:24.370815,0 days 00:04:44.613092,0.0005679066136210476,0.024823180935356286,6208,,COMPLETE
27,27,0.02577969576719582,2023-12-08 13:38:24.371400,2023-12-08 13:40:41.909773,0 days 00:02:17.538373,0.007276354880971788,0.02793260902546178,7897,,COMPLETE
28,28,0.022360106646825383,2023-12-08 13:40:41.910369,2023-12-08 13:41:57.226675,0 days 00:01:15.316306,0.019305709186783322,0.03568208612641956,8989,,COMPLETE
29,29,0.024434416335978818,2023-12-08 13:41:57.227205,2023-12-08 13:43:24.772238,0 days 00:01:27.545033,0.0074192733663773075,0.06079182164358757,5884,,COMPLETE
