Combo,BestMAP,BestParams
SLIMElasticNetRecommender_RP3betaRecommender,0.03149581348415566,"{'alpha_1': 1.0375611845312651, 'alpha_2': 1.3942455485705036}"
SLIMElasticNetRecommender_IALSRecommender,0.0308107321578827,"{'alpha_1': 1.275767092149752, 'alpha_2': 0.07668134098454474}"
SLIMElasticNetRecommender_SLIM_BPR_Recommender,0.03069066835582406,"{'alpha_1': 0.5482809264640874, 'alpha_2': 0.014311000613575429}"
SLIMElasticNetRecommender_EASE_R_Recommender,0.03053788899643836,"{'alpha_1': 1.9801221782725005, 'alpha_2': 0.5753078173761619}"
SLIMElasticNetRecommender_ItemKNNCFRecommender,0.030986863956423673,"{'alpha_1': 1.5259946853393753, 'alpha_2': 0.5360530008263092}"
RP3betaRecommender_IALSRecommender,0.03054400586460198,"{'alpha_1': 1.9514309155865008, 'alpha_2': 0.20971238851394114}"
RP3betaRecommender_SLIM_BPR_Recommender,0.030420075031474196,"{'alpha_1': 1.9873780597312358, 'alpha_2': 0.06479194544068312}"
RP3betaRecommender_EASE_R_Recommender,0.030759373398622426,"{'alpha_1': 1.588779781052566, 'alpha_2': 0.8327128453046536}"
RP3betaRecommender_ItemKNNCFRecommender,0.03030260902022583,"{'alpha_1': 0.8757857156312415, 'alpha_2': 0.06429560981464538}"
IALSRecommender_SLIM_BPR_Recommender,0.02673784692567084,"{'alpha_1': 1.7913197666239506, 'alpha_2': 1.126968540374214}"
IALSRecommender_EASE_R_Recommender,0.0272641901851747,"{'alpha_1': 0.09191900442540232, 'alpha_2': 1.4230371274495175}"
IALSRecommender_ItemKNNCFRecommender,0.02900672262395073,"{'alpha_1': 0.3802894610637143, 'alpha_2': 1.3615989761255927}"
SLIM_BPR_Recommender_EASE_R_Recommender,0.027959551962142795,"{'alpha_1': 0.1039055880554952, 'alpha_2': 1.8526717055324884}"
SLIM_BPR_Recommender_ItemKNNCFRecommender,0.028896618997007732,"{'alpha_1': 0.10089413099906956, 'alpha_2': 0.8289095606833184}"
EASE_R_Recommender_ItemKNNCFRecommender,0.02951223215471945,"{'alpha_1': 1.78720696074055, 'alpha_2': 0.8567918689505404}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender,0.03170649155105141,"{'alpha_1': 1.3782680833859562, 'alpha_2': 1.8228419650954735, 'alpha_3': 0.13862584225860689}"
SLIMElasticNetRecommender_RP3betaRecommender_SLIM_BPR_Recommender,0.03151451204236198,"{'alpha_1': 1.2984197430549358, 'alpha_2': 1.6500129016794636, 'alpha_3': 0.010792271062417036}"
SLIMElasticNetRecommender_RP3betaRecommender_EASE_R_Recommender,0.0315039587643217,"{'alpha_1': 1.2966918743542055, 'alpha_2': 1.8223897166684906, 'alpha_3': 0.14778192600462525}"
SLIMElasticNetRecommender_RP3betaRecommender_ItemKNNCFRecommender,0.031620997741464284,"{'alpha_1': 1.5248186485571198, 'alpha_2': 1.999297692960017, 'alpha_3': 0.0667841861095922}"
SLIMElasticNetRecommender_IALSRecommender_SLIM_BPR_Recommender,0.030951953918275377,"{'alpha_1': 1.5430298559187572, 'alpha_2': 0.0705080909838485, 'alpha_3': 0.046093478963714615}"
SLIMElasticNetRecommender_IALSRecommender_EASE_R_Recommender,0.03080178025773904,"{'alpha_1': 1.5423042503888342, 'alpha_2': 0.08714305282982682, 'alpha_3': 0.061977082336073616}"
SLIMElasticNetRecommender_IALSRecommender_ItemKNNCFRecommender,0.03123655237968726,"{'alpha_1': 1.807452656954813, 'alpha_2': 0.1573596173640223, 'alpha_3': 0.5935424106295994}"
SLIMElasticNetRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.030684729418537934,"{'alpha_1': 1.4688412169394214, 'alpha_2': 0.058973172085103234, 'alpha_3': 0.23652947475950206}"
SLIMElasticNetRecommender_SLIM_BPR_Recommender_ItemKNNCFRecommender,0.03108144410281732,"{'alpha_1': 1.904824844666688, 'alpha_2': 0.0784765989223547, 'alpha_3': 0.39098393551581223}"
SLIMElasticNetRecommender_EASE_R_Recommender_ItemKNNCFRecommender,0.031025542175153735,"{'alpha_1': 1.66354120321621, 'alpha_2': 0.09851036667444621, 'alpha_3': 0.6175888791609427}"
RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender,0.03078100979331566,"{'alpha_1': 1.8971670297002503, 'alpha_2': 0.17123620973725207, 'alpha_3': 0.0713199255568235}"
RP3betaRecommender_IALSRecommender_EASE_R_Recommender,0.030903695110301617,"{'alpha_1': 1.5322481567784545, 'alpha_2': 0.054671479214714144, 'alpha_3': 0.5959687149415922}"
RP3betaRecommender_IALSRecommender_ItemKNNCFRecommender,0.03067758055128543,"{'alpha_1': 1.6092346211166073, 'alpha_2': 0.16513686488309803, 'alpha_3': 0.15160465438328982}"
RP3betaRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.03088162772748297,"{'alpha_1': 1.52910538124727, 'alpha_2': 0.022844421833225045, 'alpha_3': 0.8169900150388143}"
RP3betaRecommender_SLIM_BPR_Recommender_ItemKNNCFRecommender,0.030488950097111004,"{'alpha_1': 1.927003949865579, 'alpha_2': 0.06431549750679366, 'alpha_3': 0.16577643790514018}"
RP3betaRecommender_EASE_R_Recommender_ItemKNNCFRecommender,0.03088084878564182,"{'alpha_1': 1.6143440063137566, 'alpha_2': 0.9568951930723846, 'alpha_3': 0.20618957784696507}"
IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.02841366319345605,"{'alpha_1': 0.24368628639893525, 'alpha_2': 0.16650514582969403, 'alpha_3': 1.6955952571101613}"
IALSRecommender_SLIM_BPR_Recommender_ItemKNNCFRecommender,0.029607338185706288,"{'alpha_1': 0.37866610800793754, 'alpha_2': 0.15378052602224482, 'alpha_3': 1.080617637042507}"
IALSRecommender_EASE_R_Recommender_ItemKNNCFRecommender,0.0297263541725979,"{'alpha_1': 0.12604043276264323, 'alpha_2': 1.6139792958282662, 'alpha_3': 0.8863039484894081}"
SLIM_BPR_Recommender_EASE_R_Recommender_ItemKNNCFRecommender,0.02990084900706679,"{'alpha_1': 0.14410509875116229, 'alpha_2': 1.6988650045139428, 'alpha_3': 0.8381125271571342}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender,0.03143875302877916,"{'alpha_1': 1.4977105108618618, 'alpha_2': 1.0231548092756895, 'alpha_3': 0.15819724914975988, 'alpha_4': 0.016837616449430888}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_EASE_R_Recommender,0.03143357721725626,"{'alpha_1': 1.818097618748795, 'alpha_2': 1.3788833876740356, 'alpha_3': 0.1576151879506096, 'alpha_4': 0.8907722107714263}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_ItemKNNCFRecommender,0.031489965489318116,"{'alpha_1': 1.5730312586606559, 'alpha_2': 0.7657402906363682, 'alpha_3': 0.16421373511232396, 'alpha_4': 0.4725993373504087}"
SLIMElasticNetRecommender_RP3betaRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.031473097642139354,"{'alpha_1': 1.17913192733019, 'alpha_2': 1.2332474809858458, 'alpha_3': 0.015382757418833371, 'alpha_4': 0.19215546054094867}"
SLIMElasticNetRecommender_RP3betaRecommender_SLIM_BPR_Recommender_ItemKNNCFRecommender,0.031558397704771,"{'alpha_1': 1.9014459062897935, 'alpha_2': 1.6560903803712623, 'alpha_3': 0.06681194643703586, 'alpha_4': 0.4345540405409172}"
SLIMElasticNetRecommender_RP3betaRecommender_EASE_R_Recommender_ItemKNNCFRecommender,0.03162160666046699,"{'alpha_1': 1.1882760370859504, 'alpha_2': 1.8727142059724773, 'alpha_3': 0.24933078654964397, 'alpha_4': 0.15229595850758781}"
SLIMElasticNetRecommender_IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.030878511960118406,"{'alpha_1': 1.8838085329865875, 'alpha_2': 0.11507802577064503, 'alpha_3': 0.11711829007314667, 'alpha_4': 0.5579447860558141}"
SLIMElasticNetRecommender_IALSRecommender_SLIM_BPR_Recommender_ItemKNNCFRecommender,0.03125783686664538,"{'alpha_1': 1.9064727567732507, 'alpha_2': 0.30674623023512565, 'alpha_3': 0.059639131792643185, 'alpha_4': 0.7212463023894722}"
SLIMElasticNetRecommender_IALSRecommender_EASE_R_Recommender_ItemKNNCFRecommender,0.03114300423238268,"{'alpha_1': 1.7673045904361568, 'alpha_2': 0.19303593326146434, 'alpha_3': 0.8800602761221012, 'alpha_4': 0.7255356019097885}"
SLIMElasticNetRecommender_SLIM_BPR_Recommender_EASE_R_Recommender_ItemKNNCFRecommender,0.03108430681293394,"{'alpha_1': 1.8299381739470617, 'alpha_2': 0.12194150737389206, 'alpha_3': 0.2248395886425154, 'alpha_4': 0.457010308077087}"
RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.031051385646593137,"{'alpha_1': 1.9605403604315628, 'alpha_2': 0.11309525482515437, 'alpha_3': 0.03681984758423294, 'alpha_4': 0.7711395183298074}"
RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender_ItemKNNCFRecommender,0.03055394626962,"{'alpha_1': 1.7568834659253851, 'alpha_2': 0.48571682234993574, 'alpha_3': 0.14962007023288076, 'alpha_4': 0.7499046294314955}"
RP3betaRecommender_IALSRecommender_EASE_R_Recommender_ItemKNNCFRecommender,0.03099079029778538,"{'alpha_1': 1.8829603448435377, 'alpha_2': 0.14421989070432661, 'alpha_3': 1.53422704874598, 'alpha_4': 0.3274283662738148}"
RP3betaRecommender_SLIM_BPR_Recommender_EASE_R_Recommender_ItemKNNCFRecommender,0.030540700304301588,"{'alpha_1': 1.4699297212794604, 'alpha_2': 0.19631363867982732, 'alpha_3': 1.991859162169367, 'alpha_4': 1.1904445384195756}"
IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender_ItemKNNCFRecommender,0.03008007284885549,"{'alpha_1': 0.3056022383184951, 'alpha_2': 0.12773030347506822, 'alpha_3': 1.399405234084028, 'alpha_4': 1.3074611789627208}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender,0.03151893659018033,"{'alpha_1': 1.249387150818837, 'alpha_2': 1.437610693943305, 'alpha_3': 0.06526876742899423, 'alpha_4': 0.024010927980968218, 'alpha_5': 0.5531433689040833}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender_ItemKNNCFRecommender,0.03161565190710293,"{'alpha_1': 1.760051075286422, 'alpha_2': 1.2984592469590421, 'alpha_3': 0.251975243339587, 'alpha_4': 0.05944952255248656, 'alpha_5': 0.4886649321374115}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_EASE_R_Recommender_ItemKNNCFRecommender,0.031431430184668686,"{'alpha_1': 1.9288729318974531, 'alpha_2': 1.8067108923506663, 'alpha_3': 0.2837446580034678, 'alpha_4': 1.720749192491697, 'alpha_5': 0.5019495523073938}"
SLIMElasticNetRecommender_RP3betaRecommender_SLIM_BPR_Recommender_EASE_R_Recommender_ItemKNNCFRecommender,0.031573917231300846,"{'alpha_1': 1.3896197184252475, 'alpha_2': 1.7912779985459095, 'alpha_3': 0.059608563992554764, 'alpha_4': 0.6421973468643424, 'alpha_5': 0.5903669139123245}"
SLIMElasticNetRecommender_IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender_ItemKNNCFRecommender,0.03106425993407877,"{'alpha_1': 1.9979262780203368, 'alpha_2': 0.5043723331598051, 'alpha_3': 0.3378518619160868, 'alpha_4': 1.7440824599291167, 'alpha_5': 1.5672883904269166}"
RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender_ItemKNNCFRecommender,0.031074473166442303,"{'alpha_1': 1.7399830564444312, 'alpha_2': 0.0938196559927337, 'alpha_3': 0.062091386163417084, 'alpha_4': 1.1989977352349115, 'alpha_5': 0.20690855898011973}"
SLIMElasticNetRecommender_RP3betaRecommender_IALSRecommender_SLIM_BPR_Recommender_EASE_R_Recommender_ItemKNNCFRecommender,0.03142328885852223,"{'alpha_1': 1.695590727007839, 'alpha_2': 1.4899035111435237, 'alpha_3': 0.23179288223863947, 'alpha_4': 0.07088619177891536, 'alpha_5': 1.3351392169677019, 'alpha_6': 0.8163491772591158}"
