,Fold,MAP,topK,alpha,beta,normalize_similarity
0,0,0.0012430763363951087,24,0.32048902677909535,1.0800930101821198,True
1,1,0.0011793359109348314,24,0.32048902677909535,1.0800930101821198,True
2,2,0.0011254042545120015,24,0.32048902677909535,1.0800930101821198,True
3,3,0.0010531114103617106,24,0.32048902677909535,1.0800930101821198,True
4,4,0.001031437033233977,24,0.32048902677909535,1.0800930101821198,True
5,5,0.0010456543923397516,24,0.32048902677909535,1.0800930101821198,True
6,6,0.0011422722313663898,24,0.32048902677909535,1.0800930101821198,True
7,7,0.0011123422547561848,24,0.32048902677909535,1.0800930101821198,True
8,0,0.026467840321210724,18,0.3363685826929512,0.47103283014722386,True
9,1,0.02646893165868503,18,0.3363685826929512,0.47103283014722386,True
10,2,0.026336521530208143,18,0.3363685826929512,0.47103283014722386,True
11,3,0.02671989905067541,18,0.3363685826929512,0.47103283014722386,True
12,4,0.026324205200365828,18,0.3363685826929512,0.47103283014722386,True
13,5,0.026792310822453112,18,0.3363685826929512,0.47103283014722386,True
14,6,0.026995080279496413,18,0.3363685826929512,0.47103283014722386,True
15,7,0.02643438560372112,18,0.3363685826929512,0.47103283014722386,True
16,0,0.0008435248085799056,289,0.2900210861407436,1.2791007433198358,True
17,1,0.0007695590969834439,289,0.2900210861407436,1.2791007433198358,True
18,2,0.0007694350395007622,289,0.2900210861407436,1.2791007433198358,True
19,3,0.0006502930427418989,289,0.2900210861407436,1.2791007433198358,True
20,4,0.0006583926372785303,289,0.2900210861407436,1.2791007433198358,True
21,5,0.0007827267698587535,289,0.2900210861407436,1.2791007433198358,True
22,6,0.000779252669151357,289,0.2900210861407436,1.2791007433198358,True
23,7,0.0007542859684573044,289,0.2900210861407436,1.2791007433198358,True
24,0,0.017833698918529626,225,0.30760666053151253,0.6258610300388029,False
25,1,0.01777209865270383,225,0.30760666053151253,0.6258610300388029,False
26,2,0.017783353565817225,225,0.30760666053151253,0.6258610300388029,False
27,3,0.01762266886966039,225,0.30760666053151253,0.6258610300388029,False
28,4,0.017513762318344533,225,0.30760666053151253,0.6258610300388029,False
29,5,0.017719771966467308,225,0.30760666053151253,0.6258610300388029,False
30,6,0.017858439594881793,225,0.30760666053151253,0.6258610300388029,False
31,7,0.017695934525398083,225,0.30760666053151253,0.6258610300388029,False
32,0,0.022229139976583708,73,0.3743425954794449,0.5616350562286753,False
33,1,0.021428686358527592,73,0.3743425954794449,0.5616350562286753,False
34,2,0.02183579363498706,73,0.3743425954794449,0.5616350562286753,False
35,3,0.02199986549640586,73,0.3743425954794449,0.5616350562286753,False
36,4,0.02177907081770508,73,0.3743425954794449,0.5616350562286753,False
37,5,0.021863744162462406,73,0.3743425954794449,0.5616350562286753,False
38,6,0.0218557105334519,73,0.3743425954794449,0.5616350562286753,False
39,7,0.021690018681611967,73,0.3743425954794449,0.5616350562286753,False
40,0,0.02757873869955683,197,0.3327598224505087,0.27186711776363504,True
41,1,0.026252300580673796,197,0.3327598224505087,0.27186711776363504,True
42,2,0.026639273780281636,197,0.3327598224505087,0.27186711776363504,True
43,3,0.02733706361940424,197,0.3327598224505087,0.27186711776363504,True
44,4,0.026168252066724802,197,0.3327598224505087,0.27186711776363504,True
45,5,0.026831504582606216,197,0.3327598224505087,0.27186711776363504,True
46,6,0.026935044081200236,197,0.3327598224505087,0.27186711776363504,True
47,7,0.026490589296834274,197,0.3327598224505087,0.27186711776363504,True
48,0,0.028130142026697242,300,0.3574160926384371,0.05052856829872011,True
49,1,0.02690100092102499,300,0.3574160926384371,0.05052856829872011,True
50,2,0.02678934585850549,300,0.3574160926384371,0.05052856829872011,True
51,3,0.027460241851788338,300,0.3574160926384371,0.05052856829872011,True
52,4,0.02721501621846056,300,0.3574160926384371,0.05052856829872011,True
53,5,0.027253349133231148,300,0.3574160926384371,0.05052856829872011,True
54,6,0.027773095332690182,300,0.3574160926384371,0.05052856829872011,True
55,7,0.02718089551005897,300,0.3574160926384371,0.05052856829872011,True
56,0,0.02332826320243177,5,0.299251080119042,0.20808784421106127,True
57,1,0.023151426954483,5,0.299251080119042,0.20808784421106127,True
58,2,0.02356205524100366,5,0.299251080119042,0.20808784421106127,True
59,3,0.024123008710102613,5,0.299251080119042,0.20808784421106127,True
60,4,0.023515935607879263,5,0.299251080119042,0.20808784421106127,True
61,5,0.02384039639622456,5,0.299251080119042,0.20808784421106127,True
62,6,0.024496822401321856,5,0.299251080119042,0.20808784421106127,True
