,Fold,MAP,topK,l1_ratio,alpha
0,0,0.02393024899346109,470,0.0028783368048579086,0.0672660788479978
1,1,0.023632075397220217,470,0.0028783368048579086,0.0672660788479978
2,2,0.023680445631622964,470,0.0028783368048579086,0.0672660788479978
3,3,0.02339319565000503,470,0.0028783368048579086,0.0672660788479978
4,4,0.024120527050410616,470,0.0028783368048579086,0.0672660788479978
5,5,0.02460668030964176,470,0.0028783368048579086,0.0672660788479978
6,6,0.023962049983450754,470,0.0028783368048579086,0.0672660788479978
7,7,0.02418278596611268,470,0.0028783368048579086,0.0672660788479978
8,0,4.8621620678386624e-05,784,0.40784386265824196,0.7854146757262189
9,1,2.844448233884223e-05,784,0.40784386265824196,0.7854146757262189
10,2,6.439972110727948e-05,784,0.40784386265824196,0.7854146757262189
11,3,4.340017958695001e-05,784,0.40784386265824196,0.7854146757262189
12,4,4.0371666300194716e-05,784,0.40784386265824196,0.7854146757262189
13,5,1.940008894839885e-05,784,0.40784386265824196,0.7854146757262189
14,6,2.0476713083716975e-05,784,0.40784386265824196,0.7854146757262189
15,7,4.754619202833133e-05,784,0.40784386265824196,0.7854146757262189
16,0,0.023071470609697668,38,1.646022494066345e-05,0.28747332437087847
17,1,0.022847377155046478,38,1.646022494066345e-05,0.28747332437087847
18,2,0.02285317774385846,38,1.646022494066345e-05,0.28747332437087847
19,3,0.022279190401758495,38,1.646022494066345e-05,0.28747332437087847
20,4,0.023233473708026982,38,1.646022494066345e-05,0.28747332437087847
21,5,0.023786673409018612,38,1.646022494066345e-05,0.28747332437087847
22,6,0.022775331024358313,38,1.646022494066345e-05,0.28747332437087847
23,7,0.023418602091272188,38,1.646022494066345e-05,0.28747332437087847
24,0,0.017966521674296985,936,2.1979785919684208e-05,0.61118543342141
25,1,0.01794815256916117,936,2.1979785919684208e-05,0.61118543342141
26,2,0.017704474218126764,936,2.1979785919684208e-05,0.61118543342141
27,3,0.017636772724321365,936,2.1979785919684208e-05,0.61118543342141
28,4,0.018354198334623966,936,2.1979785919684208e-05,0.61118543342141
29,5,0.018448139284962473,936,2.1979785919684208e-05,0.61118543342141
30,6,0.018228550524270352,936,2.1979785919684208e-05,0.61118543342141
31,7,0.017827561111586208,936,2.1979785919684208e-05,0.61118543342141
32,0,0.0141842196269539,715,0.013348165991927442,0.42360024031251614
33,1,0.014582806364364041,715,0.013348165991927442,0.42360024031251614
34,2,0.0146396418678274,715,0.013348165991927442,0.42360024031251614
35,3,0.014288834094281506,715,0.013348165991927442,0.42360024031251614
36,4,0.01430917247445047,715,0.013348165991927442,0.42360024031251614
37,5,0.015103639920421207,715,0.013348165991927442,0.42360024031251614
38,6,0.014921125854977964,715,0.013348165991927442,0.42360024031251614
39,7,0.014562933767932728,715,0.013348165991927442,0.42360024031251614
40,0,4.8621620678386624e-05,993,0.1384073727984184,0.30418813803328704
41,1,2.844448233884223e-05,993,0.1384073727984184,0.30418813803328704
42,2,6.439972110727948e-05,993,0.1384073727984184,0.30418813803328704
43,3,4.340017958695001e-05,993,0.1384073727984184,0.30418813803328704
44,4,4.0371666300194716e-05,993,0.1384073727984184,0.30418813803328704
45,5,1.940008894839885e-05,993,0.1384073727984184,0.30418813803328704
46,6,2.0476713083716975e-05,993,0.1384073727984184,0.30418813803328704
47,7,4.754619202833133e-05,993,0.1384073727984184,0.30418813803328704
48,0,0.02664877660705165,5,0.023734802990440826,0.001
49,1,0.026541954624616577,5,0.023734802990440826,0.001
50,2,0.026423208711000623,5,0.023734802990440826,0.001
51,3,0.025837656722870698,5,0.023734802990440826,0.001
